Date,symbol,adj_close,ret
2019-11-29,MSFT,151.38,0.0558694287507846
2019-12-31,MSFT,157.7,0.0417492403223676
2020-01-31,MSFT,170.23,0.07945466074825625
2020-02-28,MSFT,162.01,-0.04828761087939848
2020-03-31,MSFT,157.71,-0.02654157150793146
2020-04-30,MSFT,179.21,0.13632616828355837
2020-05-29,MSFT,183.25,0.022543384855755688
2020-06-30,MSFT,203.51,0.11055934515688937
2020-07-31,MSFT,205.01,0.007370645177141144
2020-08-31,MSFT,225.53,0.1000926784059315
2020-09-30,MSFT,210.33,-0.06739679865206394
2020-10-30,MSFT,202.47,-0.03736984738268445
2020-11-30,MSFT,214.07,0.057292438385933675
2020-12-31,MSFT,222.42,0.03900593263885632
2021-01-29,MSFT,231.96,0.04289182627461563
2021-02-26,MSFT,232.38,0.0018106570098292973
2021-03-31,MSFT,235.77,0.014588174541698917
2021-04-30,MSFT,252.18,0.06960173050006357
2021-05-28,MSFT,249.68,-0.009913553810770082
2021-06-30,MSFT,270.9,0.08498878564562617
2021-07-30,MSFT,284.91,0.05171650055371013
2021-08-31,MSFT,301.88,0.05956266891299
2021-09-30,MSFT,281.92,-0.06611898767722268
2021-10-29,MSFT,331.62,0.1762911464245176
2021-11-30,MSFT,330.59,-0.003105964658344007
2021-12-31,MSFT,336.32,0.01733264769049292
2022-01-31,MSFT,310.98,-0.07534490960989526
2022-02-28,MSFT,298.79,-0.03919866229339508
2022-03-31,MSFT,308.31,0.03186184276582216
2022-04-29,MSFT,277.52,-0.09986701696344591
2022-05-31,MSFT,271.87,-0.020358893052752847
2022-06-30,MSFT,256.83,-0.05532055761945054
2022-07-29,MSFT,280.74,0.0930966008643852
2022-08-31,MSFT,261.47,-0.06864002279689385
2022-09-30,MSFT,232.9,-0.10926683749569743
2022-10-31,MSFT,232.13,-0.0033061399742378983
2022-11-30,MSFT,255.14,0.09912549002713988
2022-12-30,MSFT,239.82,-0.060045465234773054
2023-01-31,MSFT,247.81,0.033316654157284686
2023-02-28,MSFT,249.42,0.00649691295750765
2023-03-31,MSFT,288.3,0.15588164541736838
2023-04-28,MSFT,307.26,0.06576482830385011
2023-05-31,MSFT,328.39,0.06876912061446339
